Application Ref,Decision,Score,Risk Level,Approved Amount,Approved Term,Monthly Repayment,Total Repayable,Monthly Income,Monthly Expenses,Monthly Disposable,Post-Loan Disposable,Months Observed,Overdraft Days per Month,Income Stability Score,Risk Flags,Decline Reasons,Affordability Score,Income Quality Score,Account Conduct Score,Risk Indicators Score
Record_647664,REFER,88.8,Low,0,0,0,0,5831.04,5346.41,484.62,367.96,13,3.46,88.2,Active HCSTC (90d): 3 lenders; Overdraft: 45 days,,30,31.8,17.5,9.5
Record_648003,APPROVE,89.2,Low,350,6,116.67,700,5915.34,3222.91,2692.42,2575.75,13,0.62,87.4,Active HCSTC (90d): 1 lenders,,30,29.7,19.5,10
Record_648492,REFER,66.3,Low,0,0,0,0,5164.03,3270.98,1893.05,1776.38,13,18.38,71.4,Active HCSTC (90d): 1 lenders; Failed payments (45d): 2; Overdraft: 239 days,,30,27.8,5.5,3
Record_648669,REFER,66.3,Low,0,0,0,0,2607.32,2748.96,-141.64,-258.31,12,14.25,82.7,Active HCSTC (90d): 1 lenders; Overdraft: 171 days,,12,31.8,15.5,7
Record_648875,REFER,80.3,Low,0,0,0,0,4042.73,2754.36,1288.37,1171.71,13,8.92,93.4,Gambling: 1.0% of income; Active HCSTC (90d): 5 lenders; Overdraft: 116 days,,30,31.8,15.5,3
Record_649235,REFER,76.7,Low,0,0,0,0,3656.25,1883.77,1772.48,1655.81,13,13.62,90.4,Active HCSTC (90d): 3 lenders; Overdraft: 177 days,,30,30.2,9.5,7
Record_650363,APPROVE,72.8,Low,350,5,140,700,13416.81,1935.26,11481.55,11341.55,2,8,50,Overdraft: 16 days,,30,13.3,19.5,10
Record_650441,REFER,80.3,Low,0,0,0,0,6445.9,2981.14,3464.76,3348.1,13,2.31,65.1,Active HCSTC (90d): 3 lenders; Overdraft: 30 days,,30,23.8,19.5,7
Record_650692,REFER,74.3,Low,0,0,0,0,5438.57,2492.89,2945.68,2829.01,13,1.31,83.8,Active HCSTC (90d): 10 lenders; Overdraft: 17 days,,28,31.8,9.5,5
Record_651035,APPROVE,85.3,Low,350,6,116.67,700,8507.91,4991.63,3516.28,3399.61,13,1.62,72.2,Overdraft: 21 days,,30,27.8,19.5,8
Record_651109,APPROVE,89.3,Low,350,5,140,700,5082.26,1144.47,3937.8,3797.8,13,1.15,83.3,Overdraft: 15 days,,30,30.8,19.5,9
