application_id,outcome
Record_646926,2
Record_647042,2
Record_647664,2
Record_648003,2
Record_648492,2
Record_648669,2
Record_648875,2
Record_649235,2
Record_650117,2
Record_650363,2
Record_650441,2
Record_650692,2
Record_651035,2
Record_651109,2
Record_651189,2
Record_651330,2
Record_651384,2
Record_651813,2
Record_652035,2
Record_652097,2
Record_652422,2
Record_652452,2
Record_652717,2
Record_653168,2
Record_653208,2
Record_653374,2
Record_653482,0
Record_653490,2
Record_653784,2
Record_653786,2
Record_653851,2
Record_653902,2
Record_654004,2
Record_654237,2
Record_654435,2
Record_654463,1
Record_654763,2
Record_654812,2
Record_654872,2
Record_654886,2
Record_655260,2
Record_655265,1
Record_655280,1
Record_655476,2
Record_655706,2
Record_655871,1
Record_655945,2
Record_655996,2
Record_655998,1
Record_656086,2
Record_656263,2
Record_656525,2
Record_656897,2
Record_656939,2
Record_656971,2
Record_656979,2
Record_657018,2
Record_657035,2
Record_657397,2
Record_657520,2
Record_657601,2
Record_657622,2
Record_657624,1
Record_657637,2
Record_657778,2
Record_658424,1
Record_658449,2
Record_658862,2
Record_658901,2
Record_658950,2
Record_659150,2
Record_659732,2
Record_659763,1
Record_660397,2
Record_660632,2
Record_660680,1
Record_660736,2
Record_660839,2
Record_661008,2
Record_661160,1
Record_661251,2
Record_661687,2
Record_661773,2
Record_661884,2
Record_662229,2
Record_662307,2
Record_662337,2
Record_662408,2
Record_662845,1
Record_663029,2
Record_663321,2
Record_663950,2
Record_664100,2
Record_664442,2
Record_664818,2
Record_665005,2
Record_665216,2
Record_665287,2
Record_665785,2
Record_665961,2
Record_666150,2
Record_666389,2
Record_667629,2
Record_667658,2
Record_667881,2
Record_667956,2
Record_668167,2
Record_668551,2
Record_668582,2
Record_668711,2
Record_668864,2
Record_669044,2
Record_669216,2
Record_669645,1
Record_670737,0
Record_671497,2
Record_671553,2
Record_672147,2
Record_672171,2
Record_672265,2
Record_672271,2
Record_672583,2
Record_673225,1
Record_673400,0
Record_673410,2
Record_673869,2
Record_674146,2
Record_674190,2
Record_674283,1
Record_674315,2
Record_674329,2
Record_674717,2
Record_674726,2
Record_674748,2
Record_674800,2
Record_674822,2
Record_674872,2
Record_674958,2
Record_675330,2
Record_675344,2
Record_675374,2
Record_675407,2
Record_675525,2
Record_675565,2
Record_675662,2
Record_675761,1
Record_675777,2
Record_676137,1
Record_676342,1
Record_676411,2
Record_676432,2
Record_676443,2
Record_675562,2
Record_676711,2
Record_676796,2
Record_677048,2
Record_677111,2
Record_677141,2
Record_677244,2
Record_677302,2
Record_677317,2
Record_677338,2
Record_677393,2
Record_677490,2
Record_677567,2
Record_677747,2
Record_677774,2
Record_677823,2
Record_677824,2
Record_678023,2
Record_678191,2
Record_678234,2
Record_678288,1
Record_678484,1
Record_678524,2
Record_678599,2
Record_678747,2
Record_678792,1
Record_678840,2
Record_679170,2
Record_679345,2
Record_679382,2
Record_679556,2
Record_679906,2
Record_680356,2
Record_680433,2
Record_680470,2
Record_680543,2
Record_681001,1
Record_681090,2
Record_681161,2
Record_681294,1
Record_681333,2
Record_681472,2
Record_681541,2
Record_681637,1
Record_681654,2
Record_681861,2
Record_681958,2
Record_682210,2
Record_682412,2
Record_682419,2
Record_682438,2
Record_682585,2
Record_683177,2
Record_683244,1
Record_683305,2
Record_683378,0
Record_683419,2
Record_683503,1
Record_683534,2
Record_683587,2
Record_683598,2
Record_683663,2
Record_683685,2
Record_683853,2
Record_683935,2
Record_684191,2
Record_684194,2
Record_684223,2
Record_684413,2
Record_684414,2
Record_684982,2
Record_685007,2
Record_685109,2
Record_685125,2
Record_685238,2
Record_685386,2
Record_685912,2
Record_685901,2
Record_686007,2
Record_686194,2
Record_686444,2
Record_686499,2
Record_686622,2
Record_686687,2
Record_686772,2
Record_686989,2
Record_687127,2
Record_687144,2
Record_687198,2
Record_687328,2
Record_687351,2
Record_687523,2
Record_687676,2
Record_688023,2
Record_688182,2
Record_688305,2
Record_688319,1
Record_688405,2
Record_688507,2
Record_688679,2
Record_688815,1
Record_688846,2
Record_688847,2
Record_688881,2
Record_688968,2
Record_688984,2
Record_689062,2
Record_689141,2
Record_689228,0
Record_689256,2
Record_689322,2
Record_689401,2
Record_689462,2
Record_689514,2
Record_689573,2
Record_689771,2
Record_690011,0
Record_690101,2
Record_690201,2
Record_690216,2
Record_690293,2
Record_690412,2
Record_690473,2
Record_690599,2
Record_690657,2
Record_690888,2
Record_690911,2
Record_691379,2
Record_691579,2
Record_691585,2
Record_691662,2
Record_691868,2
Record_692146,2
Record_692206,2
Record_692567,2
Record_692593,0
Record_692609,2
Record_692694,2
Record_692855,2
Record_692886,2
Record_692895,1
Record_693191,2
Record_693555,2
Record_693593,2
Record_693595,1
Record_693769,2
Record_693916,2
Record_694060,2
Record_695038,2
Record_695149,2
Record_695187,2
Record_695193,1
Record_695871,2
Record_695897,2
Record_696500,2
Record_696702,0
Record_696792,2
Record_696988,2
Record_697027,2
Record_697274,2
Record_697337,1
Record_697388,2
Record_697509,2
Record_697518,2
Record_697590,2
Record_697619,2
Record_697637,2
Record_697659,2
Record_697837,2
Record_697863,2
Record_698042,2
Record_698130,1
Record_698213,1
Record_698347,2
Record_698385,2
Record_698460,2
Record_698534,2
Record_698539,2
Record_698563,0
Record_698665,2
Record_698687,2
Record_698806,2
Record_698827,1
Record_698896,2
Record_699174,2
Record_699402,2
Record_699509,2
Record_699597,2
Record_699721,1
Record_699893,2
