application_id,outcome,monthly_income,effective_monthly_income,monthly_stable_income,monthly_gig_income,income_stability_score,income_regularity_score,has_verifiable_income,income_sources_count,income_trend,income_trend_pct,average_balance,minimum_balance,maximum_balance,days_in_overdraft,overdraft_frequency,overdraft_days_per_month,end_of_month_average,failed_payments_count,failed_payments_count_45d,bank_charges_count_90d,gambling_percentage,gambling_frequency,debt_collection_activity,new_credit_providers_90d,savings_activity,savings_behavior_score,has_gambling_concern,has_failed_payment_concern,has_new_credit_burst,flag_low_income_stability,flag_low_debt_management,flag_low_credit_activity,flag_no_savings,risk_flag_count,risk_tier,debt_to_income_ratio,essential_ratio,monthly_disposable,post_loan_disposable,disposable_ratio,max_affordable_amount,monthly_debt_payments,monthly_hcstc_payments,active_hcstc_count,active_hcstc_count_90d,monthly_essential_total,monthly_discretionary_total,error
RECORD_647664,2,9460.925,9460.925,250.12333333333333,4.903333333333333,16.5,60.0,1.0,2.0,decreasing,-51.6,1589.28,-615.44,15655.7,45.0,17.0,15.0,1589.28,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,WATCH,21.4,89.0,-465.45,-712.05,-4.9,0.0,2027.6116666666667,127.47666666666667,3.0,3.0,5213.993333333332,2684.7733333333313,
RECORD_648003,2,8615.570000000002,8615.57,3244.2783333333336,5.218333333333334,37.7,60.0,1.0,2.0,decreasing,-36.3,348.25,-232.0,3849.92,8.0,6.0,2.67,348.25,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4000.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,WATCH,4.7,45.7,4614.09,4367.49,53.6,1500.0,406.64166666666665,248.66666666666666,9.0,1.0,3425.616666666667,169.22333333333336,
RECORD_648492,2,5547.87,5547.87,2898.22,26.048333333333336,61.4,60.0,1.0,2.0,decreasing,-27.2,-139.38,-1700.52,3538.36,239.0,19.0,79.67,-139.38,12.0,2.0,3.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,26.4,46.5,1691.48,1444.88,30.5,1500.0,1463.9683333333335,236.89333333333332,5.0,1.0,1870.0233333333326,522.4033333333332,
RECORD_648669,2,3707.556666666667,3707.5566666666664,2013.7299999999998,1.6033333333333333,23.6,40.0,1.0,2.0,decreasing,-36.6,-900.94,-1814.69,5991.03,171.0,5.0,57.0,-900.94,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,FLAG,29.2,68.2,249.87,3.27,6.7,405.26,1082.655,538.0783333333334,8.0,1.0,1526.618333333332,848.4099999999996,
RECORD_648875,2,4525.265,4525.265,5.25,0.63,75.0,60.0,1.0,2.0,decreasing,-27.1,334.73,-1023.29,7592.91,116.0,23.0,38.67,334.73,0.0,0.0,0.0,0.4,1.0,0.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,17.1,59.7,1258.86,1012.26,27.8,1500.0,775.825,211.36666666666665,21.0,5.0,2107.958333333333,382.6216666666667,
RECORD_649235,2,3158.2966666666666,3158.2966666666666,308.3333333333333,0.0,75.2,40.0,1.0,1.0,increasing,43.2,-2354.36,-3510.1,-567.8,177.0,0.0,59.0,-2354.36,3.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,23.5,32.7,1474.04,1227.44,46.7,1500.0,741.7283333333331,51.66333333333333,4.0,3.0,912.8283333333333,29.696666666666673,
RECORD_650363,2,13416.810000000001,13416.810000000001,0.0,0.0,50.0,60.0,0.0,0.0,stable,0.0,-88.04,-2000.0,1465.08,16.0,2.0,5.33,-88.04,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,FLAG,0.1,15.7,11490.18,11243.58,85.6,1500.0,8.628333333333334,0.0,0.0,0.0,1918.0,0.0,
RECORD_650441,2,5586.463333333334,5586.463333333333,3194.2066666666674,0.0,67.4,40.0,1.0,1.0,increasing,64.6,342.0,-1017.73,2949.21,30.0,20.0,10.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,19.5,35.4,2683.51,2436.91,48.0,1500.0,1087.0200000000002,57.321666666666665,10.0,3.0,1607.6699999999994,208.26333333333346,
RECORD_650692,2,6011.786666666667,6011.786666666666,4119.606666666667,0.0,76.8,60.0,1.0,1.0,decreasing,-18.8,266.86,-500.0,3998.85,17.0,17.0,5.67,266.86,9.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,28.8,20.0,3167.34,2920.74,52.7,1500.0,1730.7133333333331,927.4183333333332,41.0,10.0,912.4216666666667,201.31166666666667,
RECORD_651035,2,11885.826666666666,11885.826666666664,3328.578333333333,14.681666666666667,66.0,60.0,1.0,2.0,decreasing,-47.6,358.09,-681.82,3555.7,21.0,19.0,7.0,358.09,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,WATCH,5.0,60.0,4801.95,4555.35,40.4,1500.0,588.6066666666667,0.0,0.0,0.0,6307.621666666667,187.64833333333334,
